,image_id,category_id,area,bbox,iscrowd,id,x_min,y_min,height,width,x_max,y_max,ctr_x,ctr_y,ratio
0,0,0,257301.66,"[197.6, 193.7, 547.8, 469.7]",0,0,197.6,193.7,547.8,469.7,745.4,663.4,471.5,428.54999999999995,1.1662763466042154
1,1,3,10402.56,"[0.0, 407.4, 57.6, 180.6]",0,1,0.0,407.4,57.6,180.6,57.6,588.0,28.8,497.7,0.318936877076412
2,1,7,26259.36,"[0.0, 455.6, 144.6, 181.6]",0,2,0.0,455.6,144.6,181.6,144.6,637.2,72.3,546.4,0.7962555066079295
3,1,4,69096.17,"[722.3, 313.4, 274.3, 251.9]",0,3,722.3,313.4,274.3,251.9,996.5999999999999,565.3,859.4499999999999,439.34999999999997,1.088924176260421
4,1,5,24164.58,"[353.2, 671.0, 233.7, 103.4]",0,4,353.2,671.0,233.7,103.4,586.9,774.4,470.04999999999995,722.7,2.260154738878143
5,1,5,188324.4,"[3.7, 448.5, 778.2, 242.0]",0,5,3.7,448.5,778.2,242.0,781.9000000000001,690.5,392.8,569.5,3.215702479338843
6,1,0,38908.72,"[425.3, 681.9, 216.4, 179.8]",0,6,425.3,681.9,216.4,179.8,641.7,861.7,533.5,771.8,1.203559510567297
7,1,7,7391.52,"[92.4, 601.7, 139.2, 53.1]",0,7,92.4,601.7,139.2,53.1,231.6,654.8000000000001,162.0,628.25,2.621468926553672
8,1,0,6857.76,"[622.4, 686.5, 72.8, 94.2]",0,8,622.4,686.5,72.8,94.2,695.1999999999999,780.7,658.8,733.6,0.7728237791932059
9,2,3,324010.8,"[267.9, 165.2, 631.6, 513.0]",0,9,267.9,165.2,631.6,513.0,899.5,678.2,583.7,421.7,1.2311890838206627
10,3,2,59550.94,"[462.2, 369.4, 233.9, 254.6]",0,10,462.2,369.4,233.9,254.6,696.1,624.0,579.15,496.7,0.9186959937156324
11,3,6,80710.56,"[773.3, 3.0, 188.4, 428.4]",0,11,773.3,3.0,188.4,428.4,961.6999999999999,431.4,867.5,217.2,0.4397759103641457
12,4,1,14768.88,"[567.5, 462.2, 165.2, 89.4]",0,12,567.5,462.2,165.2,89.4,732.7,551.6,650.1,506.9,1.8478747203579415
13,4,1,32987.78,"[859.4, 411.7, 164.2, 200.9]",0,13,859.4,411.7,164.2,200.9,1023.5999999999999,612.6,941.5,512.15,0.8173220507715281
14,4,1,32747.0,"[362.0, 349.7, 130.0, 251.9]",0,14,362.0,349.7,130.0,251.9,492.0,601.6,427.0,475.65,0.5160778086542278
