PredictionString,image_id
1 0.9919762 562.6504 102.30476 760.2759 359.3548 1 0.25778922 422.0545 463.92047 569.59576 687.28864 1 0.16370952 606.74066 157.24384 747.3448 337.65292 1 0.11632308 642.6045 261.55286 730.3358 323.028 1 0.080262415 704.51166 109.04292 764.6149 335.79327 1 0.06968444 494.10504 597.69214 553.14374 653.7468 1 0.061374325 473.57285 599.0957 589.9984 655.4077 1 0.050275594 723.39087 105.85029 783.8191 358.63263 5 0.69778717 243.35472 675.3579 298.39706 750.99646 5 0.39858243 334.6102 605.32465 464.48636 739.5799 5 0.3756101 343.3229 642.70844 391.0015 724.8768 5 0.28648996 338.32413 674.6909 461.9634 726.8053 5 0.25224853 227.83539 674.4454 346.4104 750.17206 5 0.23220314 388.95834 615.12256 454.84055 706.3782 5 0.22424993 339.67395 636.6406 439.07037 719.692 5 0.18754889 341.40182 672.327 405.25406 721.07153 5 0.13655446 417.89752 611.12 449.39178 692.6648 5 0.12238825 385.7088 645.24023 438.67737 727.8187 5 0.11066735 328.46405 642.3267 364.26062 683.43756 5 0.10796472 358.08795 618.3763 404.07318 725.4499 5 0.1040968 334.6737 681.1419 389.51862 731.62946 5 0.10303664 335.55502 643.48364 379.93552 689.6644 5 0.10005755 386.642 616.71234 423.25522 697.1257 5 0.09922063 227.96182 669.6989 466.3104 749.0546 5 0.09603131 422.35986 464.0969 569.1962 688.87115 5 0.09143171 325.7703 557.04156 443.55313 680.0268 5 0.070852086 356.99976 563.32324 432.09088 631.1129 5 0.067762375 369.14548 616.2097 406.39114 691.7572 5 0.06375222 319.29224 686.69464 360.27948 747.5694 5 0.06107051 493.36594 601.78613 590.4658 651.7235 7 0.99978584 606.1145 513.58563 947.58167 1019.8471 7 0.9997688 219.57202 52.309113 455.53137 483.01053 7 0.9994367 121.37393 428.0174 325.0547 706.0562 7 0.99860555 389.27795 195.89339 597.23175 537.9981 7 0.9874757 662.1523 327.03546 873.415 598.6006 7 0.9785462 449.4189 611.31824 644.76544 873.77454 7 0.972896 553.2146 340.82785 715.026 604.64844 7 0.7788998 263.6743 432.15256 431.1832 580.30255 7 0.27737436 321.33447 562.87933 441.8122 625.8891 7 0.18441711 527.2676 602.0376 645.9685 817.3114 7 0.131329 326.2454 570.12964 398.20804 621.87427 7 0.10363428 321.6111 526.27203 448.85593 746.10455 7 0.09130548 571.4278 604.0782 638.09894 784.5396 7 0.084852494 186.86763 668.2009 290.82736 711.60803 7 0.055031475 335.4035 607.94305 467.99176 732.51166 7 0.05421927 245.97758 406.63687 285.75266 455.04727 7 0.05122243 300.98975 544.9114 433.60168 572.16614 ,test/0000.jpg
0 0.61682254 637.4049 648.1427 730.2041 845.4656 0 0.307309 751.2557 659.1819 899.1995 982.5054 0 0.14418794 651.6398 650.8369 692.31604 842.37683 0 0.12521927 641.3019 678.2181 668.68665 847.93915 0 0.082182094 630.24286 643.34564 777.2098 907.71686 1 0.09738281 760.1143 658.5172 900.4659 980.5399 1 0.09645481 342.9182 246.42665 759.0006 702.20074 2 0.47074616 342.8719 246.38689 758.81354 701.9708 3 0.5262881 343.19833 246.81454 760.2334 702.0458 4 0.19619675 343.065 246.86372 759.88153 702.1496 5 0.9951491 136.33092 0.6387787 497.3203 271.04773 5 0.08895038 342.89166 246.31474 758.5052 701.9139 6 0.79946965 753.2234 659.9523 900.0968 981.8673 ,test/0001.jpg
0 0.7724521 103.399124 290.0498 350.11517 600.1228 0 0.4435361 96.707535 286.99908 431.85364 480.7406 0 0.34290308 782.72253 368.46634 1024.0 1024.0 0 0.23326088 661.02454 225.04909 964.42175 332.97064 0 0.21843728 868.6189 241.69086 915.98035 325.38452 0 0.17372523 307.00534 325.05713 1016.37195 415.22113 0 0.16135968 681.1186 229.37932 764.63165 326.12793 0 0.09172262 223.0517 283.46817 356.36377 415.21646 0 0.06072247 876.3354 241.2527 917.42633 277.35947 0 0.05910495 658.94604 291.6937 759.88086 321.31393 0 0.051868036 296.76712 314.65024 1017.4547 502.57327 1 0.9863078 269.73987 318.52026 1021.2555 754.4575 1 0.9473038 0.0 233.6919 145.35385 461.04102 1 0.918413 416.6742 265.5263 640.4601 334.5948 1 0.9022427 655.6229 225.13174 1008.2997 341.29025 1 0.7132848 781.48694 351.6917 1024.0 1024.0 1 0.6285224 91.25455 281.7861 426.5519 598.886 1 0.2890056 307.8313 327.14026 1015.6101 407.5772 1 0.14967193 296.76712 314.65024 1017.4547 502.57327 1 0.13769847 995.39703 307.5156 1020.66754 397.8198 1 0.11001482 975.9805 230.66774 1022.205 308.7465 1 0.10405203 108.26605 280.58374 432.74414 422.15033 1 0.093291335 961.1263 229.49046 1020.0806 380.84637 1 0.090365626 996.9786 296.2244 1023.97943 332.01926 1 0.08652811 910.5771 320.4772 1011.4305 366.3715 1 0.08360758 972.06024 230.92192 1022.0142 252.65865 1 0.0798161 621.6281 317.04233 1017.79425 369.02676 1 0.07895751 356.97687 241.47319 1004.3205 422.91333 1 0.075265 868.5192 241.4108 916.17267 325.63168 1 0.06456407 740.46356 234.8425 916.8234 331.3925 1 0.05391086 854.7913 233.9313 1023.1368 373.3539 1 0.053285446 669.5222 225.71756 870.0083 327.59488 4 0.10836564 868.73615 242.19574 915.57306 324.974 5 0.15711957 868.73615 242.19574 915.57306 324.974 6 0.1225322 307.8313 327.14026 1015.6101 407.5772 ,test/0002.jpg
9 0.99804974 147.16904 264.22873 919.55383 840.5427 9 0.75550115 4.4191895 0.0 1024.0 405.57303 9 0.5542371 22.222168 706.3074 1023.963 1016.6864 9 0.49079943 35.62857 4.0177917 1009.4889 973.8308 9 0.15242213 10.924118 270.24457 347.1739 1001.24603 9 0.0815878 158.95796 290.7097 398.00177 844.8855 ,test/0003.jpg
0 0.33186597 403.77197 376.91943 664.73645 572.2283 0 0.18865526 204.68265 371.1911 762.8904 602.658 0 0.06287993 359.61932 241.47855 677.54816 586.74634 1 0.994265 196.32166 360.8573 872.609 766.83826 1 0.5004976 206.60257 375.58466 787.6089 603.947 1 0.41224512 417.63892 398.32544 657.11597 568.733 1 0.15398353 392.01865 336.08844 740.09875 576.4357 9 0.12706657 416.90396 398.92758 657.94446 568.82043 ,test/0004.jpg
2 0.99913764 352.4709 227.53485 773.0584 703.135 ,test/0005.jpg
0 0.97809213 894.6779 789.0604 1024.0 915.96204 0 0.94581956 1.0878563 808.4524 95.51857 938.74475 0 0.8010492 603.56287 0.026725769 703.4353 85.40417 0 0.4441744 294.84253 639.9636 376.09955 740.181 0 0.2758536 192.04788 546.1018 285.94327 712.813 0 0.19278371 677.08545 1.787899 700.24 74.839905 0 0.1869754 86.73489 726.8784 135.6617 858.452 0 0.16033202 190.03372 541.3364 310.47882 880.86743 0 0.12428412 63.65238 372.65652 233.20306 739.2666 0 0.11800288 30.07402 468.22 80.59246 522.3379 0 0.10245362 323.77188 675.36383 376.105 743.51324 0 0.08246229 191.05505 582.67316 223.99774 669.8482 0 0.06170784 186.0556 547.0912 370.17316 731.5753 0 0.058021527 641.896 70.465324 692.3496 112.3946 0 0.051793884 281.02188 397.62262 378.31827 743.48065 3 0.17697935 0.0 63.412262 70.23156 220.46265 4 0.98877233 424.01617 12.849548 683.04803 273.42172 4 0.9369816 361.94293 455.563 846.8577 725.0536 4 0.19185303 52.23149 85.88031 230.2434 161.41608 4 0.15034424 0.0 62.7707 70.17503 220.59036 4 0.103241466 566.06885 213.69359 620.18933 272.16406 4 0.06833143 0.0 79.19342 242.1954 198.20364 4 0.053608835 144.8631 95.23508 221.15213 162.741 5 0.8120848 64.112785 372.8246 233.41574 738.41785 5 0.25799373 0.0 63.747665 70.26114 220.40083 5 0.21356434 360.55115 454.13245 845.5134 726.41064 5 0.09226723 456.87122 996.43585 544.94977 1023.92755 5 0.073572226 189.72183 541.8236 311.21158 880.2162 7 0.6940885 282.84808 19.206284 414.07867 180.3774 7 0.5209803 0.0 63.998222 70.27116 220.3497 7 0.14672774 285.1538 406.01202 437.7533 589.43896 7 0.074160874 343.96915 404.34985 433.76065 552.73047 7 0.06513063 286.2607 409.77985 383.1873 662.9985 ,test/0006.jpg
0 0.6150753 159.46042 34.756897 987.72437 893.4102 0 0.29215002 780.2915 90.66983 849.80005 187.57333 0 0.19460543 161.96388 948.0228 203.96986 1018.4563 0 0.094349205 154.39676 36.031982 1012.5265 396.17908 0 0.087553345 348.73636 91.73079 868.9044 184.76677 0 0.072122514 880.34985 889.3221 1020.61523 1022.73505 1 0.9356038 118.090546 84.6387 983.67834 918.02527 1 0.6678337 209.38913 893.1707 621.55896 1020.0964 1 0.63004345 880.18335 889.30237 1020.7456 1022.7555 1 0.19527492 422.7412 905.0934 614.1904 1023.14233 1 0.120742254 717.2002 108.94927 775.171 159.6343 1 0.100360945 227.92012 894.0939 378.9442 1024.0 1 0.07975007 708.5393 98.66672 810.5564 166.01215 1 0.07406553 157.85397 437.54083 903.7123 905.899 1 0.07387071 747.27686 104.47487 793.869 159.84746 7 0.20921488 1.9744291 854.1972 25.566772 1021.33405 7 0.08997605 82.958435 11.585846 1015.7673 962.0244 9 0.3567611 216.26526 72.65088 982.776 788.353 9 0.06321209 488.1803 482.24768 915.0625 741.37024 ,test/0007.jpg
0 0.16153134 106.130684 908.6164 168.51385 972.21405 0 0.13378912 692.28986 491.75394 804.633 699.68384 1 0.86489105 105.7434 909.3184 170.02753 972.2463 1 0.79643625 357.4613 497.70712 457.65167 601.69867 1 0.6468419 644.3122 630.3597 719.55426 758.02496 1 0.18381265 154.6463 579.99915 194.85281 656.0327 1 0.05877134 358.43472 129.48198 427.75522 222.40108 1 0.05354217 685.8033 451.52567 806.8116 702.5065 5 0.073509715 688.97546 456.71747 806.24194 702.5861 6 0.98930347 774.01514 282.91473 981.9391 617.11755 6 0.09290879 715.4274 407.5407 969.9244 581.0509 6 0.07940341 644.3835 630.2409 719.49445 758.1811 6 0.061465316 672.0775 454.3828 803.51965 534.72626 7 0.9996964 164.2167 529.9712 467.66373 957.8524 7 0.99930465 396.58618 467.416 694.969 877.16895 7 0.9975178 7.8586426 355.85822 268.43033 635.7913 7 0.9972185 3.4632263 619.0599 181.52582 882.21564 7 0.94159037 538.12683 434.01782 710.08484 620.0111 7 0.77445525 694.607 518.4247 795.74005 699.00684 7 0.6583024 357.5471 129.49026 427.91592 222.41867 7 0.62957877 464.7079 441.41156 807.09827 616.2077 7 0.597072 225.79071 495.5604 333.74658 556.53503 7 0.406899 231.95943 495.16275 300.42102 541.7706 7 0.12107886 378.44888 493.49765 454.07443 761.2258 7 0.10499129 357.54016 497.7636 457.9485 601.8598 7 0.093271166 700.3519 498.8155 815.11865 617.8869 7 0.08769619 26.750004 546.1008 57.615658 635.8523 7 0.077702954 649.5929 451.20737 807.345 690.58264 7 0.072722465 396.2583 595.58527 444.97125 708.47455 ,test/0008.jpg
0 0.9996331 279.6691 117.11871 661.33594 980.731 ,test/0009.jpg
