PredictionString,image_id
1 0.9474722 601.84283 107.85638 745.2581 355.2984 1 0.6458655 245.41577 677.8126 299.61682 748.80383 1 0.40760064 638.36816 257.38895 729.46985 337.75095 1 0.17012502 485.8068 587.3406 567.4999 656.68286 1 0.1370197 388.78973 679.6828 424.9317 720.3339 1 0.12692861 458.96985 576.86505 566.32263 689.96796 1 0.11866492 600.67224 241.10759 740.4498 348.44135 1 0.10314402 639.71014 223.79321 686.601 339.41083 1 0.09255927 475.5146 578.7761 526.9022 667.2809 1 0.091486484 506.71036 600.4587 558.3394 661.2691 1 0.086124726 460.64655 629.56305 566.03375 679.892 1 0.07026431 490.79388 608.22266 541.4959 693.22156 1 0.058825564 349.18036 677.6092 428.37866 724.2132 1 0.058291312 463.42758 573.71716 503.33774 668.0845 1 0.055564098 504.97278 626.8634 549.78345 673.34155 1 0.05340883 714.40155 310.8012 772.33234 348.66333 4 0.08193198 334.28436 631.4628 405.61993 728.7375 5 0.4874385 334.68677 632.7232 404.66772 727.4251 5 0.31677032 398.45358 622.92773 463.84457 693.0654 5 0.25625074 462.27634 580.6867 570.0408 685.4954 5 0.2274732 331.20325 611.555 456.0373 734.7447 5 0.17744082 482.8677 590.39624 577.00085 654.33264 5 0.1672975 419.73624 436.34198 564.96094 698.5418 5 0.16384104 460.64655 629.56305 566.03375 679.892 5 0.13258623 389.86157 603.41394 466.39276 734.1853 5 0.13139905 351.56937 532.59436 441.32773 683.4053 5 0.11553312 386.67682 681.86475 426.13678 720.4104 5 0.11035856 431.5239 558.1894 559.6325 605.43024 5 0.108357124 331.80408 563.5443 438.09003 623.1948 5 0.10016375 432.71313 538.2679 578.26514 661.02106 5 0.09947844 344.0602 546.6278 576.2219 713.5416 5 0.09785492 356.37875 674.4241 465.0012 726.271 5 0.097591735 490.79388 608.22266 541.4959 693.22156 5 0.096515484 326.6688 575.80975 383.2242 618.554 5 0.09587759 361.5528 568.20715 421.76715 652.0752 5 0.09436403 512.86176 603.0243 584.9936 649.15027 5 0.08981528 475.5146 578.7761 526.9022 667.2809 5 0.089596935 325.39703 569.7899 483.0672 677.21594 5 0.08452646 397.83948 610.1463 430.53735 709.4537 5 0.0831997 466.49933 572.94867 541.14355 617.5107 5 0.07969067 463.42758 573.71716 503.33774 668.0845 5 0.07703359 392.16412 644.67145 439.00073 717.8359 5 0.063676715 323.8398 571.7216 415.12662 727.54584 5 0.06086065 500.5805 596.1292 557.32794 665.5894 5 0.059366662 498.8197 639.39703 550.33044 689.7087 5 0.05488266 244.88019 677.9543 299.63513 748.2791 5 0.05197317 347.60757 575.97766 407.96896 630.1797 5 0.051613316 403.24973 545.5735 493.46402 685.786 6 0.05300252 245.33086 677.6387 299.64804 748.7821 7 0.9996191 605.14404 516.28864 949.0171 1021.3598 7 0.99946445 217.06857 43.696365 456.47855 472.93878 7 0.99925214 118.19366 426.3022 324.25943 709.01447 7 0.9939016 395.2519 187.02882 602.4303 539.91907 7 0.9926442 450.7668 582.1386 654.266 873.9848 7 0.98982096 605.54553 331.01605 877.015 621.02844 7 0.80371994 269.20187 418.21506 435.7966 627.1959 7 0.772893 555.6435 343.4321 713.21564 601.8793 7 0.19817162 334.81458 633.5511 402.46387 727.83734 7 0.1777134 328.3398 498.45737 441.15158 635.4444 7 0.12680428 544.5193 179.25113 573.2927 265.6015 7 0.12626001 328.55652 573.76794 382.36298 619.33875 7 0.09436429 482.8677 590.39624 577.00085 654.33264 7 0.089100406 460.0767 592.0445 616.565 684.0656 7 0.061855644 466.05228 573.5137 563.9921 710.15356 7 0.060268108 398.85544 627.0794 466.6362 691.3022 7 0.05824729 326.77808 564.05457 436.52173 740.7478 7 0.05536712 333.44055 556.4553 440.45264 624.5553 7 0.05463549 313.9904 527.2086 466.80667 694.27856 7 0.052501578 452.94562 198.04382 667.07574 908.4874 ,test/0000.jpg
0 0.21357606 626.1901 654.01794 685.4229 831.63513 0 0.07284544 657.1637 643.6314 689.73694 834.7242 0 0.06550311 638.54065 670.64935 669.5835 835.2354 4 0.090750046 343.9632 238.87036 746.7564 694.33 5 0.9918805 132.42398 0.0 495.6318 307.61646 5 0.98620844 344.80066 243.6119 748.4584 694.0095 6 0.961791 752.00195 658.71655 894.4425 987.85706 6 0.123641215 770.57416 661.6395 816.8343 961.1632 ,test/0001.jpg
0 0.83468837 779.92194 399.49954 1022.92633 1024.0 0 0.8192504 856.2299 439.31128 1021.99554 634.5598 0 0.7190087 121.010956 278.91455 430.74356 411.24982 0 0.54957443 310.43982 329.0097 1024.0 412.93567 0 0.33601186 289.00485 315.30994 998.66223 752.97754 0 0.26068974 355.04712 318.8466 1015.12915 493.41678 0 0.2595642 78.481094 277.4013 403.99414 596.58673 0 0.23365587 363.90982 345.61688 1024.0 369.21362 0 0.20553479 350.11755 355.92004 1024.0 376.26593 0 0.1705736 253.24594 342.81485 1024.0 385.81198 0 0.16761215 337.22073 324.64276 1023.69385 373.26337 0 0.110694304 100.60708 368.37335 323.08313 573.79016 0 0.10594891 45.592255 311.818 1024.0 384.54425 0 0.10191229 663.4549 288.2579 720.75446 324.52158 0 0.09228608 92.81936 348.91138 325.47656 483.8012 0 0.08460181 821.4266 336.3687 1013.2347 658.6465 0 0.07305595 32.749565 276.3275 268.4259 506.26904 0 0.070837036 876.2017 241.58615 915.01495 273.52463 0 0.06927105 673.6415 263.06595 716.4066 323.85135 0 0.068293 96.73776 281.1474 419.27042 352.0681 0 0.06663852 863.4445 246.44707 914.6274 326.50677 0 0.060685597 846.5134 460.07098 1023.3054 509.10272 0 0.05959506 635.2984 338.3744 1014.0252 364.4145 0 0.05529936 676.30383 229.5975 767.0254 322.9684 0 0.053444713 91.379814 313.107 236.12857 522.6203 1 0.9211248 294.16 318.4425 959.5747 748.1019 1 0.90449476 660.9437 226.42024 1024.0 332.84656 1 0.82669073 780.1375 399.73953 1022.91595 1024.0 1 0.8062341 90.89149 314.98248 335.72604 601.22705 1 0.6623847 420.3976 269.9395 642.1198 332.41925 1 0.56786376 845.9591 230.02716 1024.0 341.57532 1 0.26736176 674.6212 228.03006 807.5801 323.5533 1 0.25768286 957.01514 230.36069 1021.7969 339.51303 1 0.2270725 996.54193 320.88333 1019.07416 397.99344 1 0.18530773 967.209 230.27509 1023.6345 249.14624 1 0.16132227 963.8306 234.05766 1023.9505 270.67572 1 0.14299 981.3389 232.9507 1020.7459 292.26526 1 0.14018574 45.951904 283.89658 440.3741 472.76498 1 0.12109092 113.519165 443.4595 251.38531 602.68866 1 0.10673219 958.2752 299.4258 1020.4871 343.11075 1 0.10057631 959.82355 303.6638 1013.02057 381.19308 1 0.098693244 1000.1117 302.1171 1021.5663 333.91708 1 0.0864662 961.07007 271.35727 1019.2566 326.8779 1 0.080093294 855.65875 235.58215 1024.0 273.65228 1 0.07301713 867.9705 236.61037 915.3736 329.27444 1 0.070418745 891.26917 316.98514 1006.5836 370.1741 1 0.061351143 876.2017 241.58615 915.01495 273.52463 1 0.05775269 969.5834 330.2816 1019.38696 394.05222 1 0.056186542 710.1384 323.03696 987.5718 349.60153 1 0.055026192 995.826 274.30994 1022.76996 331.19794 1 0.054402523 922.31195 270.65125 1022.75616 341.2544 1 0.053204533 876.7902 310.98862 1022.03107 395.59903 1 0.05255013 947.1402 270.36728 1021.17596 392.17148 1 0.052189544 299.1024 389.20132 322.62296 587.01953 2 0.12833485 677.05396 229.40334 765.93933 323.03204 3 0.39492565 1.134697 230.61612 134.0376 491.56107 3 0.06630192 3.177925 235.95476 148.84479 356.4549 3 0.06596772 662.7811 287.65393 719.426 324.1175 3 0.06171358 677.05396 229.40334 765.93933 323.03204 3 0.061120585 876.2017 241.58615 915.01495 273.52463 5 0.3508179 1.171936 230.93787 134.68185 492.20154 6 0.27037787 822.1992 413.38828 1024.0 477.55972 6 0.11626678 293.87625 317.95703 962.45264 748.6466 6 0.08723878 467.82788 347.62024 1020.6924 412.8734 ,test/0002.jpg
9 0.9994814 144.43765 265.3411 916.1614 824.407 9 0.94141245 30.21811 87.80505 1001.50366 999.1775 9 0.8077982 0.0 0.0 1013.57996 462.20502 9 0.37392563 14.065567 200.44351 406.35956 1024.0 9 0.36521992 158.64267 693.9679 972.4823 1023.3181 9 0.12975766 3.9641418 0.0 322.08264 823.2285 ,test/0003.jpg
0 0.8172478 446.1016 405.08438 657.6537 549.38715 0 0.2659892 388.1063 341.39322 675.1587 584.6963 0 0.10162156 193.22797 357.34647 863.61115 740.021 1 0.994718 202.29193 264.70447 867.39386 779.4872 1 0.081235155 419.3556 327.2695 658.7864 576.8351 1 0.066698775 351.0437 400.77307 755.65393 569.6372 1 0.059142794 213.07855 349.7965 711.27704 628.37537 9 0.22205016 446.42987 405.13153 657.62933 548.9234 ,test/0004.jpg
2 0.9998802 346.6765 228.89885 766.7051 708.73584 ,test/0005.jpg
0 0.8091618 193.01398 636.3994 303.19785 875.8898 0 0.7725815 901.811 784.529 1023.4616 918.9274 0 0.34509993 676.1527 1.5250168 700.89185 68.93883 0 0.22933212 601.89276 1.5939751 700.49774 84.31247 0 0.16203989 654.98645 2.8686218 701.6864 76.51042 0 0.12830274 261.82214 385.18262 423.78033 706.8905 0 0.10623513 270.59058 18.110077 427.7574 172.89569 3 0.42295834 0.0 69.153366 70.64351 220.69756 4 0.98179173 418.2486 21.196281 640.8315 269.3332 5 0.9997938 367.17896 452.57654 837.43726 717.8876 5 0.634309 203.58311 546.8415 282.7793 709.21674 5 0.22852394 194.83846 547.9295 301.12836 883.69257 5 0.18509859 61.593422 351.60388 234.82935 750.5585 5 0.07544503 0.0 69.412605 70.8844 220.5946 5 0.067345664 418.71832 18.31073 639.7557 267.42682 6 0.7722847 602.0304 1.7790222 700.3441 84.3677 7 0.8752312 270.6012 18.817375 420.27008 172.00583 7 0.074948 193.12003 634.20795 303.21637 876.0524 7 0.052595433 902.0159 784.7938 1023.4107 918.76746 ,test/0006.jpg
0 0.6521445 767.01276 90.18796 878.3747 187.13678 0 0.6184027 74.5636 26.558502 1006.23804 975.54626 0 0.32394364 0.0 517.2211 507.42035 1024.0 0 0.13590214 289.13007 1.3965454 1008.7951 333.685 0 0.12951478 206.4967 487.48297 937.2373 901.85297 0 0.059915096 491.51282 469.9733 946.3286 1024.0 0 0.058611464 317.13187 1.4929657 897.10986 207.35365 1 0.547725 353.14355 884.22095 592.8779 1024.0 1 0.43064767 884.737 888.8109 1019.85114 1022.782 1 0.3344954 206.4967 487.48297 937.2373 901.85297 1 0.29676682 116.04782 60.962067 984.55725 914.5814 1 0.11771014 709.51666 112.47301 771.10284 166.41496 1 0.0584038 204.61111 825.1068 633.1212 1024.0 1 0.051476084 203.36142 887.5914 454.16507 1024.0 9 0.9339122 139.58795 85.541016 984.71967 783.38104 9 0.6000655 521.15576 492.2372 909.9166 734.8579 9 0.23376265 214.2005 480.4513 952.3996 889.41907 9 0.108762845 322.34726 133.71481 702.46106 711.3949 9 0.09834301 325.6865 203.10373 489.13663 721.6929 ,test/0007.jpg
0 0.29993212 107.47509 906.28046 168.88326 971.79694 1 0.89888793 359.53644 497.57935 464.20062 606.81165 1 0.49232584 107.46305 906.0554 168.9158 971.81604 1 0.47169805 649.7366 655.4962 721.3342 760.8186 1 0.45987242 148.77289 571.84595 207.71191 657.77075 1 0.09716945 362.65042 501.55188 426.18802 583.8096 1 0.08521837 640.5821 577.7054 710.2673 774.91425 1 0.064444125 654.68915 646.0163 719.8831 715.01886 2 0.2761163 107.5372 905.51337 168.95584 971.7725 5 0.50414586 771.4386 275.3897 970.7479 609.843 6 0.61998945 771.4328 275.44952 970.73944 609.63135 7 0.99974185 162.0394 539.5586 471.91525 962.453 7 0.9989999 3.007492 611.30237 181.49515 878.7897 7 0.99839693 400.71478 463.2456 691.91364 883.19434 7 0.99575114 4.1164093 359.00696 273.53986 654.53284 7 0.9835984 668.01556 506.26608 794.712 704.8904 7 0.93644357 535.78625 436.10077 718.41064 595.0197 7 0.8194569 223.18312 494.42462 332.02222 568.1324 7 0.37840658 363.81958 127.45061 418.76367 225.29887 7 0.31012893 0.8762455 531.49695 33.309113 676.62683 7 0.26596686 539.373 439.56976 805.0479 701.9726 7 0.108589634 354.95322 495.65604 471.3558 640.31946 7 0.10253536 183.15431 501.05005 393.35858 574.5609 7 0.09461343 364.39203 555.8158 408.88275 673.0326 7 0.0868082 376.96677 593.956 452.21072 670.9233 7 0.07375886 349.92273 567.97754 459.32782 666.0791 7 0.06937372 41.8451 551.1864 230.60281 631.23035 7 0.06644361 107.428986 905.73865 168.93234 971.7335 7 0.056732647 0.60806274 523.50433 295.2071 659.90497 ,test/0008.jpg
0 0.99982125 287.60645 115.44794 669.50464 984.2906 ,test/0009.jpg
