PredictionString,image_id
1 0.92894614 559.00385 105.774635 770.0772 363.7671 1 0.4738326 637.70856 174.76176 749.2545 343.42725 1 0.42231947 640.6725 253.1374 732.0903 343.29166 1 0.11814126 650.5355 185.98825 710.25793 269.2192 1 0.10400463 424.05945 462.4398 563.97876 630.56696 1 0.0970483 663.1209 180.64531 726.4341 304.52103 1 0.080504544 590.1993 244.51192 719.4819 359.28885 1 0.07020895 544.19653 107.99228 868.0322 523.1638 2 0.22849388 327.66873 638.29004 353.24283 682.9794 2 0.09777398 326.2317 633.8321 373.06464 684.5211 5 0.8669995 242.31564 682.63727 300.87082 749.8098 5 0.49252075 331.63733 616.9674 459.89502 739.6882 5 0.4691003 333.47986 630.82654 405.2194 723.3169 5 0.28130028 397.2263 612.3871 454.8493 691.5251 5 0.25620237 468.55157 585.14075 581.0464 682.29956 5 0.23337671 423.35394 457.68005 564.48975 670.2627 5 0.19373564 417.8014 613.2097 448.20844 681.4725 5 0.19335444 383.5559 680.9136 428.37323 720.4926 5 0.18058486 352.724 556.8229 443.02954 619.3138 5 0.17105488 389.80133 601.02893 471.77362 717.1024 5 0.16766536 358.24707 674.9501 465.25842 737.2152 5 0.15730385 496.78583 592.41644 580.11084 652.78046 5 0.15238068 342.05298 657.98425 436.6108 727.5453 5 0.15143585 323.85986 572.1654 382.77563 619.3338 5 0.14353746 328.97156 562.9773 453.62842 704.5348 5 0.13607885 213.39395 700.7365 250.77162 736.6255 5 0.13240637 320.43115 593.85956 542.9859 746.49884 5 0.119103365 204.11365 661.14655 300.12885 749.3434 5 0.11748095 417.127 557.1756 459.8478 683.35535 5 0.10748605 382.8463 622.4115 435.57214 725.44775 5 0.09617694 323.38898 575.1367 354.85992 620.8336 5 0.09466462 393.87222 560.51886 444.93228 676.72034 5 0.09166871 329.73724 707.4486 462.42316 745.1311 5 0.09080049 402.02893 628.80273 434.61603 691.89685 5 0.090093 330.9984 639.8816 365.76086 684.693 5 0.08814089 473.93304 596.633 541.73126 669.91406 5 0.08297689 286.78073 686.1937 301.2231 745.17975 5 0.08271155 325.60666 687.74646 352.40555 745.10596 5 0.0704401 322.0517 690.4548 379.71167 745.5694 5 0.06949127 393.50336 636.1975 421.42438 689.20215 5 0.06387003 398.43317 525.5846 471.09406 704.21985 5 0.06268859 394.2525 657.5819 470.84103 732.42474 5 0.058524404 409.17874 639.6738 454.0339 683.7964 5 0.05724603 288.86862 449.55975 453.60608 719.3823 5 0.056085594 425.14713 598.3541 472.9738 691.3451 5 0.054107275 355.37946 607.1431 406.23322 699.26514 5 0.053567506 338.65912 574.44763 433.99432 633.58344 5 0.053437702 481.0167 601.04974 508.9502 654.90717 5 0.0530625 337.18512 640.8391 386.0226 697.6171 5 0.051034007 333.84943 527.276 441.8896 642.0301 7 0.9988184 604.42957 517.68115 952.24536 1023.6665 7 0.99825966 217.50624 46.684128 458.09174 478.34546 7 0.99153066 119.126175 425.97275 323.93622 728.3203 7 0.9776078 394.632 188.35205 593.8998 566.9529 7 0.9584556 449.49423 596.9697 648.57874 873.90607 7 0.95348835 652.0477 324.69772 879.7335 612.5298 7 0.8905864 551.71643 344.5161 711.87366 606.287 7 0.77229416 265.74432 437.97382 437.65344 619.045 7 0.11838997 260.86768 410.49094 475.06775 747.0086 7 0.08829506 240.79782 409.19327 334.52728 457.4316 7 0.08229472 406.89478 247.39835 618.4069 844.0354 7 0.05698342 471.84198 591.16797 619.386 687.32825 ,test/0000.jpg
0 0.33546 635.4343 646.5973 688.1858 837.53796 4 0.07708046 346.07288 246.34659 755.28345 692.597 5 0.99432147 136.98549 0.74367523 492.9395 276.9663 5 0.95280385 346.11838 246.01102 755.5236 692.76184 6 0.96922886 751.52167 656.7127 896.8755 982.1471 6 0.09883933 741.9609 657.22327 820.81976 956.0758 ,test/0001.jpg
0 0.696882 881.8131 465.75342 1022.25037 632.20087 0 0.275463 72.14685 276.094 423.37805 486.94995 0 0.22000974 660.0296 287.5029 738.2519 323.83768 0 0.2012055 331.01285 330.6415 1016.5786 388.4404 0 0.16690657 823.16376 398.17987 1021.8426 638.6881 0 0.15371948 88.87663 289.70053 422.9448 395.0714 0 0.14941621 92.2318 300.71515 370.80078 599.0145 0 0.12300451 776.69446 425.66653 1023.8427 1006.4218 0 0.12279325 88.896576 328.69055 394.1355 441.9143 0 0.11750613 897.3447 468.3848 1022.8296 555.32227 0 0.106610805 100.271164 272.90494 427.75513 339.47357 0 0.09893744 96.05843 345.82953 329.77246 500.6035 0 0.08765325 819.676 791.161 877.8158 918.6035 0 0.05334852 349.96426 316.4532 1022.5958 444.15356 0 0.052191794 80.024185 317.4041 268.2934 403.43402 0 0.051997766 179.73268 275.4562 358.06366 440.7916 1 0.9588937 301.80646 305.6961 1012.3589 748.59045 1 0.89446115 424.79675 267.2134 641.58307 327.0818 1 0.79320276 669.2213 226.94514 986.4995 329.4353 1 0.77402467 90.12402 270.59177 420.92947 602.45154 1 0.74237573 776.6304 426.18182 1024.0 1023.5277 1 0.44569248 108.10889 377.16418 329.87997 598.4752 1 0.44394243 2.2037563 241.74957 150.4009 344.75662 1 0.33553037 958.2731 226.94165 1023.92584 391.01086 1 0.2821911 323.43768 451.79523 816.6865 745.46027 1 0.18183997 674.409 230.59688 785.7603 323.1527 1 0.1473775 0.682703 240.60777 148.72423 293.2663 1 0.14169444 995.5544 303.04337 1023.5602 395.56473 1 0.13953982 312.00626 317.64374 1020.4123 535.20776 1 0.13197002 895.3885 228.55077 1021.3679 358.284 1 0.11365927 720.30493 245.26971 1018.4351 833.6371 1 0.111578554 6.622364 274.2133 438.23654 379.3209 1 0.107276335 311.7575 318.9034 1020.6575 390.9193 1 0.10672885 105.38511 272.43164 427.44345 331.64713 1 0.10502739 950.30774 257.17706 1022.99786 474.5403 1 0.103470005 789.7389 227.69208 1023.1469 385.77325 1 0.10260412 382.8931 232.5874 1011.8923 360.87036 1 0.100065604 0.8001118 244.94313 200.2297 403.31076 1 0.09594089 214.62541 451.0488 328.6114 591.8278 1 0.09085551 126.88837 479.49948 323.82626 601.9102 1 0.09044556 960.0021 290.6898 1013.5349 373.07922 1 0.082280755 86.46965 325.33197 346.20233 494.22507 1 0.07586332 781.2515 231.60529 929.3244 334.12726 1 0.07008621 649.6162 232.14783 1022.6142 491.83768 1 0.068976104 842.3314 233.19186 970.21265 336.68134 1 0.06623104 970.72473 229.17029 1023.5592 321.56357 1 0.065938674 964.27637 316.44254 1022.2836 402.88696 1 0.061551146 824.06934 420.80002 1022.28314 637.09375 1 0.06147273 25.878952 260.13312 910.0786 413.1079 1 0.060371324 186.13239 280.32047 1021.5473 370.2208 1 0.05947931 85.85963 256.97272 1023.9096 606.81415 1 0.05886985 791.52527 225.0898 1022.24695 609.0152 1 0.057759624 642.9248 306.73206 998.93036 351.82007 1 0.05719253 660.64294 286.5973 747.6866 324.64417 1 0.05402132 992.82874 310.71555 1014.02606 385.57205 1 0.054000393 939.2799 316.7072 1006.5776 370.4087 1 0.05177046 564.6475 319.51215 1006.336 372.88422 1 0.05130247 40.23409 273.14432 493.68787 473.92853 4 0.4158141 867.6489 253.63075 911.1568 325.82858 4 0.2408973 860.78656 240.12543 933.3645 328.9489 ,test/0002.jpg
9 0.993723 160.07513 267.542 908.79944 822.153 9 0.15604143 3.0276184 1.2914505 1011.1124 680.07495 9 0.08672864 55.866158 670.48096 1012.99274 1019.75183 9 0.082481235 0.0 7.0000534 383.69995 1024.0 9 0.06980277 29.11753 0.0 1019.39746 330.46146 ,test/0003.jpg
0 0.4258374 428.07135 403.96182 661.3594 566.7187 0 0.06457451 206.55208 372.39645 778.8503 663.0895 0 0.058073252 370.61157 319.84857 665.38873 587.2817 0 0.05124373 284.07922 412.29596 877.345 772.0886 1 0.9804901 206.0314 291.18542 874.36005 767.8408 1 0.2540279 407.14563 404.28955 672.96326 572.16705 1 0.20101272 400.79114 395.5828 875.2743 636.9353 1 0.18770155 195.32713 372.2817 718.5637 671.24457 1 0.087574795 325.2506 477.88538 862.52655 773.8915 1 0.055098023 331.87695 274.77505 667.81287 608.7679 5 0.050642572 431.4118 405.08298 660.89197 563.62805 9 0.10045957 431.4118 405.08298 660.89197 563.62805 ,test/0004.jpg
2 0.9993879 352.5644 223.32477 779.19806 712.0684 ,test/0005.jpg
0 0.6757314 0.7752161 806.8433 91.35205 941.87537 0 0.5441327 599.1669 0.008462906 700.9929 84.436966 0 0.3260036 191.06525 643.9615 307.8075 871.4511 0 0.26504758 896.7873 786.1674 1022.7196 916.6948 0 0.21433051 299.61353 635.933 374.73297 744.3144 0 0.15636267 25.476807 470.73145 79.00716 519.2379 0 0.10687222 71.22008 369.20148 227.38374 738.5432 0 0.082892396 198.72415 543.7828 281.8453 706.7738 1 0.060044345 198.72415 543.7828 281.8453 706.7738 1 0.05636346 299.0546 636.59 375.30112 744.26086 3 0.45284903 0.54150677 66.627174 68.22189 221.31079 4 0.9093548 425.19528 7.5893097 696.68085 259.99713 4 0.69746184 359.8384 450.72046 838.4501 721.5233 4 0.063086756 568.2508 205.06844 621.72095 273.24802 4 0.05140648 1.2998133 71.12875 68.71763 220.77502 5 0.71261615 71.13419 371.01797 227.6068 737.90845 5 0.3498681 191.03903 643.92346 308.24158 871.2603 5 0.34478348 359.7368 450.63806 838.3875 721.723 5 0.12482898 0.5791788 65.62848 68.164986 221.38957 5 0.0825682 196.60231 544.03076 281.58093 706.72754 7 0.9017596 273.4026 8.493994 415.9945 170.84695 9 0.16546617 0.78094006 806.88617 91.49248 941.8006 9 0.060561854 896.8268 786.0147 1022.7449 916.8836 ,test/0006.jpg
0 0.6661933 125.8008 73.062614 989.38635 904.8518 0 0.25573498 4.418457 559.97205 285.86932 1022.0673 0 0.16760609 214.47296 473.75122 252.92961 665.71106 0 0.10654283 342.07938 1.3116684 888.3829 199.34195 0 0.074461564 173.38153 672.0824 1004.67804 1023.1631 0 0.067084834 300.84467 663.2849 499.24432 822.3908 0 0.064390086 116.39975 464.15012 919.77 925.897 0 0.05046238 438.59366 897.1367 1021.3572 1021.1835 1 0.49304062 884.4581 892.03546 1019.9576 1023.2381 1 0.442311 204.18459 891.5995 598.8992 1023.923 1 0.22149351 214.23944 894.7542 413.02228 1023.57513 1 0.14714435 358.10852 895.8459 537.52344 1023.84106 1 0.14635006 993.28723 933.5489 1023.21423 1023.71643 1 0.12006405 94.66947 805.2854 481.21857 1021.77246 1 0.103480086 439.85562 901.53174 610.84595 1024.0 1 0.07799886 436.81668 962.3335 492.8143 1023.9595 7 0.30624416 1.9921534 870.49255 23.789017 1022.9867 9 0.8513478 290.98764 72.577965 977.2762 748.88184 9 0.2941153 285.96475 513.93976 443.58063 674.2842 ,test/0007.jpg
0 0.3489195 106.69624 904.9461 169.8478 971.6094 0 0.06059088 340.69904 123.25992 430.37048 228.3693 1 0.60416806 645.7901 635.7132 721.047 766.27734 1 0.44293353 357.49374 1.7050238 420.8535 90.9269 1 0.41536325 106.55202 905.06104 169.79776 971.65784 1 0.27166462 358.9394 498.201 477.65414 610.66315 1 0.22479086 152.50183 576.5244 197.90137 656.32025 1 0.102970295 359.3237 496.42776 435.62183 584.72394 1 0.06769157 654.5323 634.0152 718.0805 699.04004 1 0.061621413 633.49243 533.47784 757.2334 776.0129 2 0.12704553 359.32404 497.8404 472.44037 607.1002 2 0.10451456 106.56176 905.02795 169.81598 971.6622 3 0.07726464 598.30676 347.21524 744.0128 472.35825 5 0.4122263 775.5204 280.1856 976.0475 617.8462 5 0.123223856 547.48267 426.4135 709.8547 566.94916 5 0.12311491 597.41895 347.14444 744.0331 472.6199 5 0.08181921 662.8607 454.38892 811.70123 571.728 5 0.051992603 701.2809 478.97162 815.1762 617.6043 6 0.6302609 775.53186 280.30276 976.25476 617.8956 7 0.9948411 390.41486 472.5477 693.6983 879.7473 7 0.9948217 166.55478 519.1169 462.6648 959.31506 7 0.9929716 4.128578 359.2061 272.99072 635.525 7 0.98914075 3.3693638 617.7216 181.1304 879.5892 7 0.77210236 671.05176 525.66046 793.8594 697.1972 7 0.5803542 340.6101 123.9297 429.5622 228.18436 7 0.4903727 229.00967 492.00262 330.8761 558.1814 7 0.48963398 544.8157 425.60693 716.41644 598.85767 7 0.41414204 358.65955 497.99344 482.77625 610.43036 7 0.38362053 523.1492 430.20346 788.9685 686.31885 7 0.28090346 643.7338 449.37402 816.82196 688.6452 7 0.2599198 0.31455898 539.13293 48.197586 684.5363 7 0.14744467 225.79636 492.3098 291.7412 545.59125 7 0.13832167 351.97452 494.64642 499.83517 710.6626 7 0.105355464 658.7758 453.90796 810.5032 580.1445 7 0.09542635 106.55202 905.06104 169.79776 971.65784 7 0.08989164 699.0248 478.71915 814.3913 619.94666 7 0.08783455 410.48892 499.27042 495.86963 603.90936 7 0.087304525 588.18634 435.56592 781.42163 551.80237 7 0.08473048 388.8731 592.972 447.84155 694.21497 7 0.08259954 4.461769 485.21207 255.98901 833.074 7 0.07522936 144.5493 480.86795 311.7149 646.3893 7 0.066707045 156.10336 683.59265 182.87152 733.3219 7 0.062396158 186.99055 492.43896 332.95758 602.08105 7 0.058717765 439.63702 450.9688 728.45996 620.2781 7 0.050245877 556.213 428.25757 679.558 530.45056 ,test/0008.jpg
0 0.99774295 295.4389 110.46929 660.28894 969.7705 ,test/0009.jpg
